*.gov.ru
*.kremlin.ru
*.yandex.ru
*.lenta.ru
*.vk.com
*.facebook.com
*.mail.ru
*.ok.ru
*.odnoklassniki.ru
*.twitter.com
*.youtube.com
*.google.com
*.google.ru
*.instagram.com
*.gfs.ru
*.pfrf.ru
*.mosreg.ru
*.government.ru
*.udprf.ru
*.roskazna.ru
*.cbr.ru
*.mvd.ru
*.rosminzdrav.ru
*.mid.ru
*.mkrf.ru
*.mil.ru
*.minvostokrazvitia.ru
*.minsvyaz.ru
*.mcx.ru
*.minstroyrf.ru
*.mintrans.ru
*.rosmintrud.ru
*.minfin.ru
*.minjust.ru
*.nalog.ru
*.fsb.ru
*.rosreestr.ru
*.gks.ru
*.fsin.su
*.fsvps.ru
*.meteorf.ru
*.rupto.ru
*.rurospotrebnadzor.ru
*.roszdravnadzor.ru
*.rrostransnadzor.ru
*.fsrar.ru
*.fstrf.ru
*.fstec.ru
*.rostrud.ru
*.fedsfm.ru
*.gosnadzor.ru
*.fssprus.ru
*.rosfinnadzor.ru
*.customs.ru
*.фтс.рф
*.fapmc.ru
*.rossvyaz.ru
*.roscosmos.ru
*.fmbaros.ru
*.rosim.ru
dniyanao.ru	81.177.139.123
dgzt89.ru	91.242.171.49
yamolod.ru	5.101.153.76
rek-yamal.ru	92.63.110.84
dkmns.ru	91.242.171.95
yamalagro.ru	89.111.176.127
jkh-yamal.ru	92.243.69.102
cultura-yamala.ru	5.101.152.31
культура¤мала.рф	5.101.152.31
yamal-sport.ru	109.120.184.39
www.yamalfin.ru	91.242.171.83
zags.gov.yanao.ru	91.242.171.53
yamalarchives.ru	31.31.196.2
sgsn89.ru	81.177.140.243
amurobl.ru	192.162.120.194
gu.amurobl.ru	192.162.120.51
vstamur.ru	148.251.126.35
amurzdrav.ru	92.63.103.182
amurcult.ru	92.53.98.118
obramur.ru	212.192.194.10
minsportamur.ru	62.76.188.102
agroamur.ru	188.168.142.59
szn.amurobl.ru	195.208.34.225
mintrans-amur.ru	46.61.130.26
fin.amurobl.ru	89.109.180.62
mer.amurobl.ru	91.142.146.227
gz.amurobl.ru	91.142.147.109
tarifamur.ru	212.12.2.236
zanamur.ru	176.57.210.32
amurohota.ru	185.84.108.5
amurleshoz.ru	77.222.42.202
amr.msudrf.ru	195.230.70.7
crimea.gov.ru	95.173.128.111
rk.gov.ru	31.13.129.115
minfo.rk.gov.ru	31.13.129.115
mzhkh.rk.gov.ru	31.13.129.115
mzdrav.rk.gov.ru	31.13.129.115
mzem.rk.gov.ru	31.13.129.115
mkult.rk.gov.ru	31.13.129.115
mtur.rk.gov.ru	31.13.129.115
monm.rk.gov.ru	31.13.129.115
mprom.rk.gov.ru	31.13.129.115
msh.rk.gov.ru	31.13.129.115
msport.rk.gov.ru	31.13.129.115
mstrov.rk.gov.ru	31.13.129.115
mtop.rk.gov.ru	31.13.129.115
mtrans.rk.gov.ru	31.13.129.115
mtrud.rk.gov.ru	31.13.129.115
minfin.rk.gov.ru	31.13.129.115
mchs.rk.gov.ru	31.13.129.115
meco.rk.gov.ru	31.13.129.115
minek.rk.gov.ru	31.13.129.115
must.rk.gov.ru	31.13.129.115
gkvet.rk.gov.ru	31.13.129.115
gkvod.rk.gov.ru	31.13.129.115
gkreg.rk.gov.ru	31.13.129.115
gkmn.rk.gov.ru	31.13.129.115
gkles.rk.gov.ru	31.13.129.115
gkokn.rk.gov.ru	31.13.129.115
gkr.rk.gov.ru	31.13.129.115
gkz.rk.gov.ru	31.13.129.115
gas.rk.gov.ru	31.13.129.115
iggne.rk.gov.ru	31.13.129.115
gizn.rk.gov.ru	31.13.129.115
intsm.rk.gov.ru	31.13.129.115
intrud.rk.gov.ru	31.13.129.115
kkp.rk.gov.ru	31.13.129.115
kpk.rk.gov.ru	31.13.129.115
sgsn.rk.gov.ru	31.13.129.115
sks.rk.gov.ru	31.13.129.115
szfn.rk.gov.ru	31.13.129.115
smpgo.rk.gov.ru	31.13.129.115
set.rk.gov.ru	31.13.129.115
sfh.rk.gov.ru	31.13.129.115
pravo.pskov.ru	195.128.137.3
